Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Renta neta media por persona;2022;21.367
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Renta neta media por hogar;2022;41.591
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Media de la renta por unidad de consumo;2022;29.680
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Mediana de la renta por unidad de consumo;2022;23.450
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Renta bruta media por persona;2022;27.820
28079 Madrid;2807901 Madrid distrito 01;2807901011 Madrid sección 01011;Renta bruta media por hogar;2022;54.151
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Renta neta media por persona;2022;18.611
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Renta neta media por hogar;2022;38.913
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Media de la renta por unidad de consumo;2022;25.824
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Mediana de la renta por unidad de consumo;2022;21.350
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Renta bruta media por persona;2022;23.719
28079 Madrid;2807901 Madrid distrito 01;2807901012 Madrid sección 01012;Renta bruta media por hogar;2022;49.594
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Renta neta media por persona;2022;16.796
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Renta neta media por hogar;2022;32.052
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Media de la renta por unidad de consumo;2022;22.071
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Mediana de la renta por unidad de consumo;2022;19.250
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Renta bruta media por persona;2022;20.938
28079 Madrid;2807901 Madrid distrito 01;2807901013 Madrid sección 01013;Renta bruta media por hogar;2022;39.957
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Renta neta media por persona;2022;19.964
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Renta neta media por hogar;2022;40.316
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Media de la renta por unidad de consumo;2022;28.286
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Mediana de la renta por unidad de consumo;2022;23.450
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Renta bruta media por persona;2022;25.758
28079 Madrid;2807901 Madrid distrito 01;2807901014 Madrid sección 01014;Renta bruta media por hogar;2022;52.015
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Renta neta media por persona;2022;21.853
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Renta neta media por hogar;2022;42.673
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Media de la renta por unidad de consumo;2022;29.856
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Mediana de la renta por unidad de consumo;2022;23.450
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Renta bruta media por persona;2022;28.297
28079 Madrid;2807901 Madrid distrito 01;2807901015 Madrid sección 01015;Renta bruta media por hogar;2022;55.255
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Renta neta media por persona;2022;21.643
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Renta neta media por hogar;2022;43.084
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Media de la renta por unidad de consumo;2022;30.165
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Mediana de la renta por unidad de consumo;2022;26.250
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Renta bruta media por persona;2022;28.208
28079 Madrid;2807901 Madrid distrito 01;2807901016 Madrid sección 01016;Renta bruta media por hogar;2022;56.153
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Renta neta media por persona;2022;22.143
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Renta neta media por hogar;2022;42.049
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Media de la renta por unidad de consumo;2022;30.398
28079 Madrid;2807901 Madrid distrito 01;2807901018 Madrid sección 01018;Mediana de la renta por unidad de consumo;2022;25.550
